10 13.25 2.3788843833
20 28.1666666667 7.12018045396
30 39.0 8.25722823845
40 49.0 6.64694051288
50 64.0833333333 12.5224041646
60 76.4166666667 11.9351149847
70 106.166666667 60.5622644787
80 112.166666667 24.1127402512
90 120.666666667 35.0229362077
100 143.25 54.6345295411
110 139.75 20.231051741
120 148.0 21.1144069729
130 170.333333333 48.5916815427
140 183.5 38.7028305284
150 196.5 35.3489102314
160 222.916666667 58.2415945295
170 228.416666667 59.7440880808
180 251.916666667 70.1912430867
190 259.083333333 75.216606403
200 269.0 55.0586464187
210 261.916666667 30.0165358468
220 318.083333333 88.7554949217
230 291.833333333 42.9859032566
240 295.583333333 40.1937542261
250 328.5 47.9876878149
260 319.583333333 57.348152595
270 337.083333333 63.3266543528
280 409.583333333 95.1758738846
290 356.833333333 39.7854092335
300 383.0 67.5479627578
310 364.916666667 59.49248743
320 451.166666667 103.409893437
330 425.5 86.88602775
340 478.416666667 95.4277054618
350 433.75 80.0012783989
360 452.25 113.261664059
370 468.666666667 79.9685544259
380 483.25 59.799855579
390 537.5 140.461900366
400 501.333333333 102.619627162
410 582.166666667 177.989189321
420 557.666666667 103.19913084
430 639.833333333 214.478578432
440 615.333333333 165.807299616
450 565.666666667 83.0589421964
460 617.666666667 104.826552269
470 654.083333333 156.737451772
480 617.083333333 85.7273249462
490 653.5 135.573193918
500 688.5 213.371847849
